transaction_id,user_id,amount,date_time,location,ip_address,device,transaction_type,frequency_last_24h,fraud
100,411,1698.11,2025-01-28 18:47:12,Craiova,88.50.58.82,computer,in-person,3,0
101,172,756.34,2024-05-26 11:03:15,London,163.9.133.53,laptop,online,0,0
102,415,729.76,2024-11-09 03:49:43,Berlin,147.28.140.250,computer,online,2,0
103,228,2400.2,2024-06-16 04:05:45,Bucharest,218.148.39.42,phone,online,2,0
104,289,2853.82,2024-08-23 02:11:30,Paris,200.167.103.226,phone,online,1,0
105,260,1666.13,2024-06-10 13:13:43,Miami,232.81.25.143,computer,in-person,2,0
106,449,480.94,2025-05-21 12:27:46,Craiova,149.29.146.161,phone,in-person,2,0
107,7,2132.06,2024-10-17 14:53:40,Cluj,117.224.113.247,phone,in-person,3,0
108,195,662.6,2024-09-23 02:40:24,Chicago,19.217.142.80,computer,online,4,0
109,434,290.08,2024-06-07 05:42:41,Constanta,80.173.51.169,laptop,online,2,1
110,252,197.37,2025-05-07 23:21:57,Miami,231.42.123.48,phone,in-person,3,0
111,381,696.48,2025-01-27 10:56:42,Craiova,220.242.128.118,phone,online,0,0
112,237,78.75,2025-04-19 02:40:06,Craiova,80.74.33.180,phone,in-person,0,0
113,294,2505.24,2024-12-12 19:08:24,New York,97.125.137.134,laptop,in-person,4,1
114,457,2192.97,2024-11-01 15:48:25,Bucharest,249.113.92.54,computer,in-person,2,1
115,44,2314.35,2024-09-05 19:18:13,Chicago,35.148.97.49,phone,in-person,4,0
116,319,2271.0,2024-08-16 22:16:35,Berlin,130.74.209.122,computer,in-person,1,0
117,215,1710.0,2024-11-10 21:54:14,Constanta,90.102.185.121,computer,online,0,0
118,278,1313.41,2024-09-09 15:51:21,Paris,88.94.175.229,phone,online,2,0
119,66,2138.91,2024-09-28 15:13:06,Slatina,75.226.37.156,laptop,in-person,1,0
120,225,2293.85,2024-07-07 16:14:46,Constanta,30.140.169.216,phone,in-person,5,0
121,262,558.64,2024-07-17 03:05:03,Miami,216.12.115.182,phone,in-person,3,0
122,252,1661.66,2025-04-03 22:47:29,Constanta,21.23.193.233,laptop,online,1,0
123,233,1465.85,2024-05-27 00:01:30,Constanta,34.233.27.122,phone,in-person,1,0
124,371,2653.77,2025-02-01 22:20:50,Berlin,63.2.179.143,computer,online,3,0
125,122,1953.01,2025-05-17 01:36:16,Craiova,2.212.213.63,computer,online,1,0
126,447,2634.36,2025-04-28 03:19:54,Tokyo,86.190.158.84,laptop,in-person,1,0
127,213,11.97,2024-11-10 03:45:34,Sydney,20.218.3.80,computer,in-person,2,0
128,200,2409.37,2024-09-04 04:58:51,Los Angeles,189.72.42.224,phone,online,1,0
129,122,2703.36,2025-04-16 10:09:46,Slatina,19.248.241.35,laptop,online,3,0
130,326,188.4,2024-11-01 21:52:04,New York,147.24.240.56,laptop,in-person,0,0
131,302,533.56,2024-06-06 07:25:09,Berlin,152.129.4.95,computer,online,3,0
132,147,787.78,2024-10-08 10:01:35,Berlin,119.200.222.182,phone,in-person,4,0
133,117,73.85,2025-02-14 22:36:54,Constanta,96.160.137.250,computer,online,1,0
134,201,1345.85,2025-01-26 19:22:27,Tokyo,106.29.182.205,laptop,online,3,0
135,460,1808.92,2024-11-08 19:08:06,New York,212.149.103.215,computer,in-person,1,0
136,403,108.77,2025-01-25 10:29:09,Miami,126.167.154.175,laptop,online,2,0
137,390,989.4,2024-08-07 23:03:18,Sydney,118.186.231.209,laptop,online,3,0
138,317,1708.99,2025-01-28 18:42:18,Berlin,4.67.0.161,computer,online,2,0
139,119,2389.48,2024-07-09 03:37:14,London,213.85.223.204,phone,online,1,0
140,294,1987.65,2024-07-22 17:32:17,Miami,177.135.115.2,computer,in-person,1,0
141,394,1404.45,2025-04-13 05:05:05,Cluj,25.98.60.196,laptop,in-person,0,0
142,109,962.59,2025-04-10 06:35:09,Los Angeles,202.246.158.49,laptop,online,4,0
143,126,313.0,2024-09-02 13:14:32,Los Angeles,164.58.61.8,laptop,in-person,3,0
144,103,2028.91,2025-03-03 17:58:05,Los Angeles,99.208.226.211,computer,in-person,3,0
145,322,1741.79,2024-07-20 17:15:05,Craiova,73.238.178.36,phone,online,1,0
146,303,1385.02,2024-08-30 17:13:50,Los Angeles,27.148.183.164,phone,online,2,0
147,410,977.49,2025-04-13 05:51:33,Chicago,115.177.160.159,computer,online,2,0
148,428,1384.5,2025-01-25 02:00:10,Chicago,179.91.109.218,phone,in-person,1,0
149,193,904.42,2025-03-28 06:05:34,Bucharest,35.244.126.81,phone,online,2,0
150,334,934.27,2025-03-06 12:42:04,Craiova,187.73.81.183,phone,in-person,0,0
151,265,1317.89,2024-10-04 20:39:37,Miami,75.134.61.225,phone,online,0,0
152,393,504.87,2024-09-11 02:25:58,Craiova,5.48.3.132,computer,in-person,2,0
153,147,1611.98,2024-08-04 06:27:21,Cluj,125.27.196.229,computer,online,3,0
154,112,2293.77,2024-08-24 14:34:26,Bucharest,184.125.250.43,computer,in-person,0,0
155,144,1116.07,2025-03-27 05:23:03,Craiova,227.226.135.223,phone,in-person,0,0
156,347,791.43,2025-03-18 13:05:28,Slatina,228.119.56.47,phone,in-person,2,0
157,33,2603.33,2024-05-30 16:06:22,Bucharest,59.147.109.106,computer,online,3,0
158,493,1559.33,2024-09-15 08:56:17,New York,113.183.74.99,phone,online,0,0
159,371,1729.13,2024-07-29 12:44:07,Bucharest,92.160.244.63,computer,online,2,0
160,97,1324.33,2024-12-06 10:51:13,Berlin,58.80.90.34,phone,online,0,0
161,87,166.99,2025-03-15 19:16:16,Los Angeles,74.102.50.86,laptop,in-person,3,0
162,70,800.9,2024-10-21 23:22:46,Berlin,151.13.59.1,computer,in-person,0,0
163,212,1452.37,2024-11-18 17:04:19,Craiova,163.9.87.20,phone,in-person,3,0
164,80,2664.17,2024-08-09 17:31:23,Sydney,209.226.39.94,phone,in-person,3,1
165,99,10.63,2024-05-29 05:04:54,Craiova,4.100.81.173,phone,in-person,2,0
166,285,2154.31,2024-07-23 03:15:06,Bucharest,77.68.16.16,laptop,online,1,0
167,392,1022.34,2025-05-17 15:24:49,Constanta,220.5.118.237,laptop,online,2,0
168,261,1992.57,2024-08-10 05:34:19,Tokyo,133.222.68.3,phone,in-person,1,0
169,168,485.08,2025-04-14 03:31:26,Berlin,212.17.182.7,computer,in-person,2,0
170,243,1700.53,2024-06-01 02:20:18,New York,205.19.172.177,laptop,online,0,0
171,132,1069.02,2024-12-11 15:40:41,Chicago,44.144.202.41,computer,online,4,0
172,87,415.03,2024-07-21 09:41:07,London,30.165.247.138,laptop,in-person,3,0
173,289,2533.62,2025-05-08 16:19:38,Sydney,168.203.217.124,phone,in-person,3,0
174,246,907.57,2024-06-18 17:25:03,Sydney,63.105.191.35,phone,online,4,0
175,270,1998.88,2025-01-01 17:25:45,Bucharest,80.78.3.161,laptop,online,3,0
176,341,791.5,2025-05-01 13:42:56,Cluj,55.0.51.226,phone,in-person,5,0
177,194,858.99,2025-05-19 13:39:59,New York,63.187.247.11,computer,in-person,1,0
178,154,2706.97,2025-03-31 11:14:41,Sydney,132.117.217.100,laptop,online,3,0
179,173,1225.15,2024-07-28 03:31:39,Berlin,240.105.211.153,computer,online,1,0
180,262,600.61,2024-11-09 15:10:03,London,248.97.34.3,phone,in-person,1,0
181,498,2103.21,2024-09-02 08:25:56,Bucharest,74.148.198.60,laptop,online,3,0
182,127,578.01,2024-12-04 23:07:36,Tokyo,38.61.29.193,laptop,in-person,2,0
183,3,1220.59,2024-08-30 04:01:38,Miami,204.187.66.176,phone,online,1,0
184,340,1325.59,2024-12-06 16:16:19,Tokyo,8.243.173.45,laptop,online,6,0
185,473,1477.47,2024-10-21 00:48:13,New York,139.146.201.21,laptop,online,2,0
186,177,1953.71,2025-01-29 11:13:52,Sydney,185.172.180.3,laptop,online,0,0
187,426,1919.55,2024-12-16 23:16:36,Los Angeles,23.48.6.10,computer,online,1,0
188,420,1231.44,2024-10-23 05:44:34,Berlin,227.160.220.114,computer,in-person,4,0
189,6,192.77,2024-10-31 13:03:25,New York,21.117.210.125,phone,in-person,0,0
190,308,2861.19,2025-03-27 01:58:03,London,148.0.36.140,phone,online,0,0
191,25,771.59,2025-03-22 09:58:42,Constanta,123.146.166.40,phone,online,1,0
192,110,1436.07,2025-05-17 16:42:17,Berlin,29.217.109.25,phone,online,0,0
193,234,504.64,2024-05-28 09:35:20,Los Angeles,124.83.7.39,laptop,online,3,0
194,79,2522.1,2024-07-28 07:03:31,Paris,57.85.46.253,computer,online,1,0
195,84,2418.48,2024-12-24 11:30:41,Miami,84.199.102.70,phone,online,5,0
196,62,183.82,2025-04-05 14:04:15,Slatina,78.39.170.148,phone,online,3,0
197,427,715.87,2024-10-17 02:39:29,Paris,104.126.120.121,laptop,in-person,3,0
198,239,2197.19,2024-08-09 05:40:06,Paris,133.233.168.194,phone,in-person,2,0
199,281,468.6,2025-03-04 17:48:04,Cluj,111.242.198.122,phone,in-person,2,0
200,95,2629.89,2024-12-19 09:52:56,Chicago,93.252.88.104,computer,online,2,0
201,269,957.85,2025-02-15 11:02:08,Constanta,47.73.31.149,laptop,in-person,5,0
202,122,1008.12,2024-11-13 23:17:43,Los Angeles,242.32.37.94,computer,online,2,0
203,140,1744.61,2024-07-01 19:56:50,Miami,183.134.250.230,computer,in-person,2,0
204,440,102.85,2025-03-01 02:29:12,Sydney,130.73.161.24,computer,in-person,0,0
205,229,1283.35,2025-03-29 15:34:26,Cluj,209.28.227.217,laptop,in-person,0,0
206,365,1276.01,2025-02-12 04:14:40,Slatina,185.24.160.32,laptop,online,3,0
207,474,1180.45,2024-09-17 02:22:55,Constanta,71.37.18.121,phone,online,2,0
208,233,2838.61,2024-08-22 18:58:06,Bucharest,12.133.209.78,phone,in-person,2,0
209,26,1204.76,2024-11-20 16:34:36,Bucharest,170.235.23.35,laptop,online,2,0
210,97,2516.28,2024-07-04 17:39:43,Paris,6.237.140.216,computer,online,0,0
211,226,1690.29,2024-07-26 03:53:55,Constanta,10.131.197.44,laptop,online,0,0
212,93,1955.08,2025-02-10 19:06:19,Craiova,236.207.97.233,computer,in-person,1,0
213,63,1918.11,2024-05-25 13:07:30,Los Angeles,205.229.10.26,phone,in-person,4,0
214,199,930.23,2025-01-24 00:02:33,Paris,64.194.246.143,phone,in-person,1,0
215,119,1934.21,2024-11-12 09:00:05,Los Angeles,38.68.78.87,phone,online,2,0
216,60,2797.77,2024-05-25 16:56:41,Tokyo,37.77.60.68,laptop,in-person,0,0
217,243,87.45,2024-12-18 05:38:54,Craiova,201.93.239.134,phone,online,0,0
218,481,462.03,2024-10-29 18:40:48,London,161.238.171.239,laptop,online,3,0
219,206,513.15,2025-03-13 00:07:27,Tokyo,244.112.132.130,phone,online,5,0
220,38,1950.55,2025-01-25 10:19:28,London,13.11.162.235,laptop,online,1,0
221,152,316.43,2024-06-04 22:39:18,Slatina,177.159.6.73,phone,in-person,0,0
222,361,2048.02,2024-09-01 16:12:04,Craiova,133.187.11.204,computer,online,5,0
223,397,303.89,2025-03-04 08:36:59,Chicago,20.88.111.215,phone,in-person,1,0
224,211,1051.07,2024-07-07 17:56:08,Sydney,179.45.106.127,phone,online,1,0
225,182,38.93,2025-03-30 15:42:53,Bucharest,73.74.223.22,computer,in-person,3,0
226,94,1542.79,2024-09-16 02:23:56,Paris,231.109.222.134,laptop,in-person,2,0
227,2,528.06,2024-09-12 17:04:59,Berlin,156.67.241.27,laptop,in-person,0,0
228,26,380.54,2024-07-22 17:44:25,Slatina,222.31.18.72,laptop,online,0,0
229,193,1966.76,2025-03-11 17:39:53,New York,79.199.25.27,phone,online,0,0
230,188,963.84,2025-05-05 12:32:27,Miami,201.4.53.192,computer,in-person,1,0
231,27,2834.88,2025-02-17 20:22:40,Craiova,187.202.93.242,laptop,online,1,0
232,313,2576.74,2024-08-17 23:46:55,Berlin,104.244.65.39,computer,online,0,1
233,123,499.18,2024-09-04 22:38:22,Constanta,149.104.83.108,laptop,online,3,0
234,397,1499.16,2024-12-23 05:21:34,Chicago,247.244.203.60,phone,online,1,0
235,219,511.97,2025-01-09 02:08:45,Miami,126.35.48.216,computer,online,3,0
236,280,1547.97,2025-01-29 21:04:31,Cluj,104.63.129.71,computer,in-person,2,0
237,445,1237.99,2024-11-02 08:42:39,Miami,183.149.18.193,computer,online,0,0
238,375,1323.52,2024-11-21 00:23:34,Cluj,236.72.16.26,phone,online,2,0
239,96,2597.44,2025-05-19 20:31:24,Berlin,2.160.153.49,computer,online,3,1
240,334,1487.66,2024-09-02 13:49:24,Craiova,254.103.1.132,phone,in-person,4,0
241,374,487.73,2025-05-08 18:29:44,Bucharest,156.250.242.237,computer,in-person,2,0
242,326,171.3,2025-03-04 23:06:58,Chicago,231.229.4.214,computer,online,0,0
243,433,950.32,2025-04-29 19:25:39,New York,33.80.124.1,laptop,in-person,4,0
244,449,2479.55,2025-02-04 18:52:34,Los Angeles,235.178.114.52,phone,online,1,0
245,75,30.52,2024-09-22 04:40:24,Paris,31.125.98.229,laptop,in-person,2,0
246,416,765.31,2024-11-12 17:19:05,Sydney,160.7.80.59,laptop,in-person,4,0
247,323,2015.49,2025-04-20 09:58:50,Miami,220.128.221.9,laptop,in-person,1,1
248,171,1035.03,2024-10-19 14:10:58,Chicago,2.43.209.211,computer,online,1,0
249,63,2154.47,2024-09-25 13:38:59,Chicago,39.194.231.132,phone,online,8,1
250,148,1404.1,2024-07-15 19:54:39,Tokyo,75.145.191.41,laptop,in-person,3,0
251,384,941.51,2024-07-05 10:45:33,Miami,254.18.200.184,phone,in-person,1,0
252,50,1110.16,2025-01-16 10:43:01,Los Angeles,178.4.233.182,computer,online,2,0
253,250,2930.58,2024-12-18 02:33:06,Cluj,216.124.155.236,phone,in-person,1,0
254,379,1775.09,2024-09-05 22:52:15,New York,188.148.156.131,computer,in-person,0,0
255,180,267.66,2024-09-05 20:03:08,Los Angeles,20.99.7.2,laptop,in-person,2,0
256,317,2382.98,2024-08-04 07:47:15,Bucharest,123.234.253.220,computer,online,4,1
257,16,1733.71,2025-03-25 22:18:48,Craiova,195.126.2.248,phone,in-person,2,0
258,118,1965.9,2025-01-09 19:44:08,Bucharest,50.118.5.245,phone,in-person,2,0
259,99,187.79,2024-08-24 02:21:13,Craiova,204.108.102.105,laptop,online,0,0
260,236,606.54,2024-07-01 16:10:00,Miami,80.79.146.116,computer,online,2,0
261,274,468.64,2024-06-24 04:55:50,Slatina,141.64.245.90,laptop,in-person,4,0
262,141,2288.38,2025-04-03 23:23:07,Chicago,230.64.61.161,laptop,online,0,0
263,143,804.99,2024-12-23 23:27:39,Cluj,220.118.72.214,laptop,in-person,2,0
264,494,2922.08,2024-06-18 04:51:27,Cluj,172.9.41.194,phone,online,1,0
265,257,2134.3,2024-09-25 16:00:23,Miami,92.213.233.19,phone,online,2,0
266,156,2748.84,2024-07-14 14:15:48,London,86.154.76.244,computer,online,2,0
267,40,785.04,2025-01-13 00:32:14,Berlin,149.164.244.224,laptop,online,2,0
268,132,2399.76,2025-01-03 17:01:07,Craiova,18.40.209.122,computer,online,1,0
269,146,798.93,2024-08-29 21:20:34,Sydney,248.0.207.196,laptop,in-person,5,0
270,493,2403.09,2025-01-15 21:29:07,Slatina,227.146.84.57,laptop,in-person,2,0
271,346,484.44,2025-05-18 15:59:22,Berlin,183.136.229.86,laptop,in-person,0,0
272,175,376.98,2024-09-25 21:40:47,Miami,38.126.138.49,computer,online,0,0
273,45,2428.05,2024-12-17 13:09:59,Los Angeles,227.179.87.84,laptop,online,1,0
274,203,2963.19,2025-05-08 09:40:52,Constanta,215.47.69.40,laptop,online,3,0
275,419,1132.24,2024-12-25 21:35:25,Miami,31.96.1.158,computer,in-person,2,0
276,105,1272.88,2025-04-07 18:29:11,Constanta,107.97.195.222,computer,in-person,3,0
277,337,2318.65,2025-03-09 05:41:06,London,253.97.5.110,phone,in-person,1,0
278,333,1928.21,2024-09-01 15:11:12,Los Angeles,147.100.102.129,laptop,in-person,5,0
279,79,1177.22,2024-08-29 15:44:18,Tokyo,247.74.69.214,phone,in-person,1,0
280,407,760.96,2025-03-03 06:39:51,Miami,132.173.127.4,phone,online,0,0
281,266,388.18,2024-06-17 00:49:48,Miami,134.172.10.163,computer,online,3,0
282,413,1744.81,2024-06-24 09:40:58,Sydney,114.133.74.66,computer,online,2,0
283,97,346.04,2024-07-03 01:34:36,Craiova,82.21.51.77,phone,in-person,1,0
284,465,2624.61,2025-04-13 05:38:58,Bucharest,151.28.49.23,laptop,in-person,3,0
285,126,502.82,2024-11-28 11:15:20,Tokyo,23.205.200.32,phone,online,1,0
286,445,219.35,2024-08-04 18:29:20,Constanta,14.36.151.44,computer,in-person,4,0
287,249,764.62,2025-03-02 02:55:13,Tokyo,63.173.202.254,laptop,online,1,0
288,128,1482.65,2024-12-06 12:15:46,Constanta,35.142.77.165,computer,in-person,3,0
289,244,151.41,2024-09-15 09:50:55,Chicago,238.117.110.216,phone,in-person,0,0
290,174,465.5,2024-09-04 10:06:47,Cluj,145.141.51.32,phone,online,1,0
291,8,2950.73,2024-08-16 05:40:05,Sydney,123.43.69.252,computer,online,1,0
292,410,663.91,2024-11-16 06:00:53,Cluj,150.90.225.52,laptop,online,0,0
293,78,1879.79,2025-03-04 03:27:37,Craiova,169.205.242.234,phone,in-person,1,0
294,380,2782.27,2025-05-16 19:19:59,Chicago,234.188.30.209,laptop,online,2,0
295,166,33.16,2024-07-19 08:45:55,Los Angeles,36.215.122.162,laptop,online,3,0
296,172,1891.21,2025-03-29 18:25:02,Tokyo,84.205.220.48,computer,in-person,2,0
297,483,247.48,2025-05-01 00:11:57,Constanta,97.209.167.225,computer,online,0,0
298,361,1481.41,2024-07-05 15:35:38,London,117.75.68.114,laptop,online,1,0
299,262,2743.13,2025-04-08 06:47:09,New York,191.105.111.191,laptop,in-person,2,1
300,433,2819.95,2024-11-15 17:47:36,Berlin,219.211.145.250,computer,in-person,3,0
301,485,2894.17,2024-05-29 10:43:18,Chicago,79.1.171.9,phone,online,2,0
302,327,668.03,2024-09-12 02:44:07,Paris,97.42.78.83,computer,online,0,0
303,201,2043.88,2024-09-07 18:03:54,London,197.20.193.194,phone,online,5,0
304,167,1759.18,2024-07-31 15:55:03,Miami,63.174.182.19,computer,online,2,0
305,108,734.24,2024-06-05 10:05:10,Tokyo,241.209.193.111,computer,in-person,1,0
306,226,2204.28,2025-02-20 20:31:48,Tokyo,27.243.125.211,phone,in-person,2,0
307,226,1388.88,2025-01-22 00:47:12,Tokyo,217.121.198.174,phone,online,1,0
308,223,729.55,2025-05-08 16:07:43,Cluj,107.41.174.250,computer,in-person,3,0
309,62,899.03,2025-05-02 23:50:37,Sydney,210.68.169.35,computer,online,2,0
310,434,2626.4,2024-10-23 17:34:07,Tokyo,51.66.81.79,phone,in-person,3,0
311,321,2560.91,2025-01-08 11:57:29,Tokyo,204.72.211.105,phone,in-person,4,0
